genome,domain,phylum,class,order,family,genus,species
GCA_000002415,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium_vivax
GCA_000002435,Eukaryota,Fornicata,unplaced,Diplomonadida,Hexamitidae,Giardia,Giardia_intestinalis
GCA_000002445,Eukaryota,Euglenozoa,Kinetoplastida,Trypanosomatida,Trypanosomatidae,Trypanosoma,Trypanosoma_brucei
GCA_000002655,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_fumigatus
GCA_000002715,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_clavatus
GCA_000002725,Eukaryota,Euglenozoa,Kinetoplastida,Trypanosomatida,Trypanosomatidae,Leishmania,Leishmania_major
GCA_000002765,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium_falciparum
GCA_000002835,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,Eimeria,Eimeria_tenella
GCA_000002845,Eukaryota,Euglenozoa,Kinetoplastida,Trypanosomatida,Trypanosomatidae,Leishmania,Leishmania_braziliensis
GCA_000002855,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_niger
GCA_000002875,Eukaryota,Euglenozoa,Kinetoplastida,Trypanosomatida,Trypanosomatidae,Leishmania,Leishmania_infantum
GCA_000003225,Eukaryota,Apicomplexa,Aconoidasida,Piroplasmida,Theileriidae,Theileria,Theileria_annulata
GCA_000003835,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae
GCA_000004985,Eukaryota,Heterolobosea,Tetramitia,Eutetramitia,Valkamfiidae,Naegleria,Naegleria_gruberi
GCA_000006275,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_flavus
GCA_000006335,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida_tropicalis
GCA_000006425,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,Cryptosporidium_hominis
GCA_000006445,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii
GCA_000006515,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,Cryptosporidium_muris
GCA_000011425,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_nidulans
GCA_000026365,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_rouxii
GCA_000026945,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida_dubliniensis
GCA_000027005,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Komagataella,Komagataella_phaffii
GCA_000090985,Eukaryota,Chlorophyta,Mamiellophyceae,mamiellales,mamiellaceae,Micromonas,Micromonas_commoda
GCA_000091025,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium_gossypii
GCA_000091065,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae
GCA_000091225,Eukaryota,Microsporidia,Microsporidia,Microsporidia,Unikaryonidae,Encephalitozoon,Encephalitozoon_cuniculi
GCA_000142805,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea_thermotolerans
GCA_000146465,Eukaryota,Microsporidia,Microsporidia,Microsporidia,Unikaryonidae,Encephalitozoon,Encephalitozoon_intestinalis
GCA_000147375,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces_anomalus
GCA_000147415,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella_variabilis
GCA_000149205,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_nidulans
GCA_000149225,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea_kluyveri
GCA_000149365,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae
GCA_000149445,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida_albicans
GCA_000149555,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_verticillioides
GCA_000149615,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_terreus
GCA_000149645,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_fischeri
GCA_000149665,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium_falciparum
GCA_000149715,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Sarcocystidae,Toxoplasma,Toxoplasma_gondii
GCA_000149735,Eukaryota,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora_ramorum
GCA_000149755,Eukaryota,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora_sojae
GCA_000149795,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium_falciparum
GCA_000149865,Eukaryota,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiales,Batrachochytrium,Batrachochytrium_dendrobatidis
GCA_000149955,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum
GCA_000150015,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Sarcocystidae,Toxoplasma,Toxoplasma_gondii
GCA_000150145,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergilliaceae,Aspergillus,Aspergillus_fumigatus
GCA_000150435,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium_falciparum
GCA_000150455,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium_falciparum
GCA_000151125,Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,Trichophyton_benhamiae
GCA_000151175,Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,Trichophyton_equinum
GCA_000151355,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_vanettenii
GCA_000151425,Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,Trichophyton_rubrum
GCA_000151455,Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,Trichophyton_tonsurans
GCA_000151485,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae
GCA_000151505,Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,Trichophyton_verrucosum
GCA_000165345,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,Cryptosporidium_parvum
GCA_000165365,Eukaryota,Apicomplexa,Aconoidasida,Piroplasmida,Theileriidae,Theileria,Theileria_parva
GCA_000166955,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_paradoxus
GCA_000166975,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_mikatae
GCA_000166995,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_uvarum
GCA_000167015,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_castellii
GCA_000167035,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_uvarum
GCA_000167075,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_kudriavzevii
GCA_000167115,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea_waltii
GCA_000179355,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces_aestuarii
GCA_000179415,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces_wickerhamii
GCA_000181435,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae
GCA_000182075,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae
