"metric","value","denominator","percent"
"eligible QC-pass genomes",6295,,
"eligible resolved species with at least 3 representatives",321,,
"qualifying ANI>=95 and AF>=0.6 edges",1729088,,
"connected components",366,,
"isolated genomes",79,6295,1.2549642573471
"homogeneous connected components",317,366,86.6120218579235
"heterogeneous connected components",49,366,13.3879781420765
"species in one homogeneous component",175,321,54.5171339563863
"species in multiple homogeneous components",29,321,9.03426791277259
"species in at least one heterogeneous component",117,321,36.4485981308411
"heterogeneous components with exactly 1 outlier genome",14,49,28.5714285714286
"heterogeneous components with <=5 outlier genomes",31,49,63.265306122449
"maximal cliques with at least 2 genomes",395,,
"homogeneous maximal cliques with at least 2 genomes",305,395,77.2151898734177
"heterogeneous maximal cliques with at least 2 genomes",90,395,22.7848101265823
